title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Black Christmas,Black Christmas,"Horror, Thriller","holiday, difficult childhood, childhood memory, childhood trauma, psychopath, serial killer, murderer, christmas eve, christmas horror","This holiday season, the slay ride begins.","An escaped maniac returns to his childhood home on Christmas Eve, which is now a sorority house, and begins to murder the sorority sisters one by one. A remake of the 1974 horror movie, Black Christmas (1974).",84,25/12/2006,,en,"English, Italiano","Canada, United States of America",Dimension Films,9000000,21510851,119,4.8
Breakin' All the Rules,Breakin' All the Rules,"Comedy, Romance",best selling author,When it comes to getting dumped... He wrote the book.,"Inspired by his fiancée (who dumped him), a man publishes a break-up handbook for men, becoming a bestselling author in the process.",85,14/05/2004,,en,English,United States of America,"Screen Gems, Breakup Productions",0,0,21,5.8
Henry V,Henry V,"War, Drama, History, Action, Romance","shakespeare, hero, kingdom, war, based on play, gritty, medieval, king of england",The great adventure of a king who defied the odds to prove himself a man.,Gritty adaption of William Shakespeare's play about the English King's bloody conquest of France.,137,05/10/1989,,en,"English, Français",United Kingdom,"BBC Films, Samuel Goldwyn Company, Renaissance Films",9000000,0,71,7.4
The Savages,The Savages,Drama,"father son relationship, depression, parents kids relationship, brother sister relationship, professor, pflegeheim, professor for literature, son, brother, daughter, alzheimer, sister, relation, pflegen, alienation, independent film, domestic violence, writer, relationship, family, family feud, father figure, woman director",,A sister and brother face the realities of familial responsibility as they begin to care for their ailing father.,114,19/01/2007,http://www.foxsearchlight.com/thesavages,en,English,United States of America,"Fox Searchlight Pictures, Ad Hominem Enterprises, This Is That Productions, Lone Star Film Group, Savage Productions",0,0,110,6.8
Chasing Papi,Chasing Papi,"Comedy, Romance",woman director,Three women. Three cities. Three times the trouble.,"Playboy Thomas Fuentes has so far been able to skate by in life on good looks and charm alone. But when his duplicitous relationships with three women -- impassioned waitress Cici, meticulous lawyer Lorena and bored socialite Patricia -- spiral out of control, he suffers a mental breakdown. His doctor recommends that he choose just one girlfriend -- but can he choose in time before they discover his deception?",80,16/04/2003,,en,English,United States of America,Fox 2000 Pictures,0,6126237,16,6.3
The Way of the Gun,The Way of the Gun,"Action, Crime, Drama, Thriller","gunslinger, mexico, hotel, ransom, mexican standoff, kidnapping, sperm bank, from rags to riches, surrogate mother, money, gunfight, drifter, gangster, criminal, desert, millionaire, neo-western",,"Parker and Longbaugh are a pair of low-level petty criminals, living off the grid and funding their existence through unconventional and often illegal means. Wanting to move past petty crime, they vow to get the proverbial ""big score.",119,08/09/2000,,en,"English, Français",United States of America,,8500000,19125401,100,6.4
Igby Goes Down,Igby Goes Down,"Comedy, Drama","father son relationship, patenonkel, independent film, falling in love",Insanity is relative.,A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.,97,13/09/2002,,en,English,United States of America,United Artists,9000000,4777465,95,6.5
PCU,PCU,Comedy,"mascot, beer keg, political correctness, ultimate frisbee, funky music, fund raiser, stage diving",Flunk 'em if they can't take a joke.,"Nervous high school senior Tom Lawrence visits Port Chester University, where he gets a taste of politically correct college life when he's guided by fraternity wild man Droz and his housemates at The Pit. But Droz and his pals have rivals in nasty preppy Rand McPherson and the school's steely president. With their house threatened with expulsion, Droz and company decide to throw a raging party where the various factions will collide.",79,29/04/1994,,en,English,United States of America,Paul Schiff Productions,9000000,4350774,41,6
The Ultimate Gift,The Ultimate Gift,"Romance, Drama, Family","grandfather grandson relationship, independent film, wealth, inheritance fight",,"When his wealthy grandfather finally dies, Jason Stevens fully expects to benefit when it comes to the reading of the will. But instead of a sizable inheritance, Jason receives a test, a series of tasks he must complete before he can get any money.",114,20/10/2006,,en,"Español, English",United States of America,"The Ultimate Gift LLC, Dean River Productions",0,0,78,6.8
The Ice Pirates,The Ice Pirates,"Action, Science Fiction, Comedy","rebel, space war, water, sci-fi comedy",A totally SPACED adventure! ...You have to be there to see it.,"The time is the distant future, where by far the most precious commodity in the galaxy is water. The last surviving water planet was somehow removed to the unreachable centre of the galaxy at the end of the galactic trade wars. The galaxy is ruled by an evil emperor (John Carradine) presiding over a trade oligarchy that controls all mining and sale of ice from asteroids and comets.",91,16/03/1984,,en,English,United States of America,"JF Productions, Metro-Goldwyn-Mayer (MGM)",9000000,0,49,5.7
Gracie,Gracie,Drama,,,"This is the story of a teenager named Gracie Bowen, who lives in South Orange, New Jersey, is crazy about soccer, as are her three brothers and former soccer star father. Although Gracie wants to join her brothers and father in the nightly practices, she is discouraged by everyone except her elder brother, Johnny. Her father does not believe that girls should play soccer and tells her that she is neither tough enough nor talented enough to play with the boys team. Undeterred, Gracie finds reserves of strength she never knew existed, and persists in changing everyone's beliefs in what she is capable of, including her own. She faces an uphill battle when she fights to give women the opportunity to play competitive soccer. But as the beautiful and strong person that she has always been but she also brings her family together in the face of their own tragedy.",97,01/06/2007,,en,English,United States of America,"Elevation Filmworks, Ursa Major Films LLC",9000000,2955039,17,6
Trust the Man,Trust the Man,"Comedy, Drama, Romance",independent film,Men play the game. Women know the score.,"Overachieving actress, Rebecca (Moore), must come to grips with her failing marriage to stay-at-home dad, Tom (Duchovny). While Rebecca's slacker brother, Tobey (Billy Crudup), can't seem to commit to his aspiring-novelist girlfriend, Elaine (Maggie Gyllenhaal). As both relationships spin out of control, the two couples embark on a quest to rediscover the magic and romance of falling in love in New York.",103,01/09/2005,,en,English,United States of America,Trust the Man LLC,9000000,0,29,5.5
Hamlet 2,Hamlet 2,"Comedy, Music","music teacher, musical, theatre milieu, high school, latina, teacher, sweat",One high school drama teacher is about to make a huge number 2.,"From the same people that brought you ""Little Miss Sunshine,"" Hamlet 2 is the story of Dana Marschz, a high school drama teacher facing the cancellation of his program. A spoof on the typical story of bringing inner city and privileged youth together to succeed, this offbeat comedy contains a hilarious musical finale.",92,21/01/2008,,en,English,United States of America,,0,0,56,6.1
Velvet Goldmine,Velvet Goldmine,"Drama, Music","gay, great britain, narration, glam rock, bisexual, music journalism, school uniform,  begins with text, imaginary band, baby left on doorstep, fictional band, down feather, 19th century, 1980s",Style matters. Even when it comes to murder.,"Almost a decade has elapsed since Bowie esque glam superstar Brian Slade staged his own death and escaped the spotlight of the London scene.  Now, investigative journalist Arthur Stuart is on assignment to uncover the truth of the enigmatic Slade's rise and fall.  Stuart, himself forged by the music of the 1970s, explores the larger-than-life stars who were once his idols and what has become of them since the turn of the new decade.",119,23/10/1998,,en,English,United Kingdom,"Channel Four Films, Single Cell Pictures, Newmarket Capital Group, Goldwyn Films, Killer Films, Zenith Entertainment, Miramax",0,1053788,116,6.9
The Wailing,곡성,"Horror, Mystery","sex, small town, exorcism, investigation, daughter, police, possession, murder, priest, curse, korea, shaman, zombie, demon, rural, shrine, ghost, gluttony, korean, divination",Never be tempted.,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,156,12/05/2016,,ko,"日本語, 한국어/조선말, Español",South Korea,"Fox International Productions, Fox Video Korea",0,0,250,7.2
Glee: The Concert Movie,Glee: The Concert Movie,"Documentary, Music, Family","concert, live performance, duringcreditsstinger",,"A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them.",84,11/08/2011,http://movies2.foxjapan.com/glee/,en,English,United States of America,"Twentieth Century Fox Film Corporation, Ryan Murphy Productions, Twentieth Century Fox Television",9000000,18663238,79,6.8
The Legend of Suriyothai,สุริโยไท,"Drama, Foreign, History, War","queen, thailand, invasion",,"During the 16th century, as Thailand contends with both a civil war and Burmese invasion, a beautiful princess rises up to help protect the glory of the Kingdom of Ayothaya. Based on the life of Queen Suriyothai.",185,17/08/2001,,th,ภาษาไทย,Thailand,"American Zoetrope, Prommitr International Production",0,0,6,5.1
Two Evil Eyes,Due occhi diabolici,"Horror, Thriller","cat, photographer, nightmare, hallucination, hypnosis, greed, alcoholism, anthology, zombie, spirit, violence, horror anthology",When I wake you... you'll be dead,"Two horror segments based on Edgar Allan Poe stories set in and around the city of Pittsburgh. ""The Facts in the Case of M. Valdemar"" concerns a cheating wife who is trying to scam her dying husband out of millions by having her doctor/hypnotist lover hypnotize the geezer into signing his dough over to her. The old man dies while under hypnosis and is stuck in the limbo between the here and the hereafter. The door to the physical world is opened and the undead attempt to enter it. ""Black Cat"" is the story of Rodd Usher, an alcoholic photographer/artist, who descends into madness after he kills a stray cat that his live-in girlfriend Annabelle brings home. One murder leads to another, and the complex cover-ups begin.",120,25/01/1990,,en,English,"Italy, United States of America",,9000000,0,35,6
